1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 2 536 431, 2 584 034, 2 630 862, 2 677 609, 2 724 847, 2 773 020, 2 822 443, 2 873 306, 2 925 687, 2 979 576, 3 034 950, 3 091 844, 3 150 421, 3 211 001, 3 273 978, 3 339 584, 3 407 923, 3 478 770, 3 551 599, 3 625 681, 3 700 437, 3 775 760, 3 851 650, 3 927 780, 4 003 794, 4 079 481, 4 154 667, 4 229 506, 4 304 534, 4 380 506, 4 458 004, 4 536 997, 4 617 387, 4 699 569, 4 784 012, 4 870 922, 4 960 568, 5 052 522, 5 145 426, 5 237 442, 5 327 231, 5 414 289, 5 498 920, 5 581 598, 5 663 150, 5 744 213, 5 824 892, 5 905 046, 5 984 794, 6 064 239, 6 143 494, 6 222 627, 6 301 773, 6 381 185, 6 461 159, 6 541 907, 6 623 518, 6 705 947, 6 789 089, 6 872 767, 6 956 824, 7 041 194, 7 125 828, 7 210 582, 7 295 291, 7 379 797, 7 464 022, 7 547 859, 7 631 091, 7 713 468, 7 794 799
  376 325,  382 377,  388 799,  395 544,  402 579,  409 881,  417 443,  425 271,  433 381,  441 799,  450 548,  459 642,  469 077,  478 826,  488 848,  499 123,  509 632,  520 401,  531 514,  543 084,  555 190,  567 868,  581 087,  594 770,  608 803,  623 103,  637 630,  652 409,  667 500,  682 995,  698 953,  715 385,  732 240,  749 429,  766 833,  784 360,  801 975,  819 682,  837 469,  855 335,  873 278,  891 273,  909 307,  927 404,  945 602,  963 923,  982 365, 1 000 900, 1 019 484, 1 038 058, 1 056 576, 1 075 000, 1 093 317, 1 111 523, 1 129 623, 1 147 610, 1 165 486, 1 183 209, 1 200 670, 1 217 726, 1 234 281, 1 250 288, 1 265 780, 1 280 842, 1 295 601, 1 310 152, 1 324 517, 1 338 677, 1 352 642, 1 366 418, 1 380 004
